geo_name|state_us_abbreviation|housing_unit_count_100_percent
Autauga County|AL|22135
Baldwin County|AL|104061
Barbour County|AL|11829
Bibb County|AL|8981
Blount County|AL|23887
Bullock County|AL|4493
Butler County|AL|9964
Calhoun County|AL|53289
Chambers County|AL|17004
Cherokee County|AL|16267
Chilton County|AL|19278
Choctaw County|AL|7269
Clarke County|AL|12638
Clay County|AL|6776
Cleburne County|AL|6718
Coffee County|AL|22330
Colbert County|AL|25758
Conecuh County|AL|7093
Coosa County|AL|6478
Covington County|AL|18829
Crenshaw County|AL|6735
Cullman County|AL|37054
Dale County|AL|22677
Dallas County|AL|20208
DeKalb County|AL|31109
Elmore County|AL|32657
Escambia County|AL|16486
Etowah County|AL|47454
Fayette County|AL|8437
Franklin County|AL|14022
Geneva County|AL|12687
Greene County|AL|5007
Hale County|AL|7655
Henry County|AL|8891
Houston County|AL|45319
Jackson County|AL|24786
Jefferson County|AL|300552
Lamar County|AL|7354
Lauderdale County|AL|43791
Lawrence County|AL|15229
Lee County|AL|62391
Limestone County|AL|34977
Lowndes County|AL|5140
Macon County|AL|10259
Madison County|AL|146447
Marengo County|AL|10237
Marion County|AL|14737
Marshall County|AL|40342
Mobile County|AL|178196
Monroe County|AL|11333
Montgomery County|AL|101641
Morgan County|AL|51193
Perry County|AL|4737
Pickens County|AL|9483
Pike County|AL|15267
Randolph County|AL|11982
Russell County|AL|24595
St. Clair County|AL|35541
Shelby County|AL|80970
Sumter County|AL|6786
Talladega County|AL|37088
Tallapoosa County|AL|22111
Tuscaloosa County|AL|84872
Walker County|AL|30816
Washington County|AL|8407
Wilcox County|AL|5649
Winston County|AL|13469
Aleutians East Borough|AK|747
Aleutians West Census Area|AK|1929
Anchorage Municipality|AK|113032
Bethel Census Area|AK|5919
Bristol Bay Borough|AK|969
Denali Borough|AK|1771
Dillingham Census Area|AK|2427
Fairbanks North Star Borough|AK|41783
Desha County|AR|6261
Haines Borough|AK|1631
Hoonah-Angoon Census Area|AK|1771
Juneau City and Borough|AK|13055
Kenai Peninsula Borough|AK|30578
Ketchikan Gateway Borough|AK|6166
Kodiak Island Borough|AK|5303
Lake and Peninsula Borough|AK|1502
Matanuska-Susitna Borough|AK|41329
Nome Census Area|AK|4008
North Slope Borough|AK|2500
Northwest Arctic Borough|AK|2707
Petersburg Census Area|AK|1994
Prince of Wales-Hyder Census Area|AK|2992
Sitka City and Borough|AK|4102
Skagway Municipality|AK|636
Southeast Fairbanks Census Area|AK|3915
Valdez-Cordova Census Area|AK|6102
Wade Hampton Census Area|AK|2183
Wrangell City and Borough|AK|1428
Yakutat City and Borough|AK|450
Yukon-Koyukuk Census Area|AK|4038
Apache County|AZ|32514
Cochise County|AZ|59041
Coconino County|AZ|63321
Gila County|AZ|32698
Graham County|AZ|12980
Greenlee County|AZ|4372
La Paz County|AZ|16049
Maricopa County|AZ|1639279
Mohave County|AZ|110911
Navajo County|AZ|56938
Pima County|AZ|440909
Pinal County|AZ|159222
Santa Cruz County|AZ|18010
Yavapai County|AZ|110432
Yuma County|AZ|87850
Arkansas County|AR|9436
Ashley County|AR|10137
Baxter County|AR|22580
Benton County|AR|93084
Boone County|AR|16827
Bradley County|AR|5860
Calhoun County|AR|2897
Carroll County|AR|13559
Chicot County|AR|5421
Clark County|AR|10385
Clay County|AR|8031
Cleburne County|AR|15826
Cleveland County|AR|4064
Columbia County|AR|11596
Conway County|AR|9720
Craighead County|AR|40515
Crawford County|AR|26115
Crittenden County|AR|21489
Cross County|AR|7853
Dallas County|AR|4305
Drew County|AR|8408
Faulkner County|AR|46612
Franklin County|AR|8021
Fulton County|AR|6778
Garland County|AR|50548
Grant County|AR|7758
Greene County|AR|17892
Hempstead County|AR|10419
Hot Spring County|AR|14332
Howard County|AR|6238
Independence County|AR|16187
Izard County|AR|7232
Jackson County|AR|7601
Jefferson County|AR|33006
Johnson County|AR|11311
Lafayette County|AR|4353
Lawrence County|AR|8000
Lee County|AR|4356
Lincoln County|AR|4860
Little River County|AR|6460
Logan County|AR|10108
Lonoke County|AR|27239
Madison County|AR|7481
Marion County|AR|9354
Miller County|AR|19281
Mississippi County|AR|20459
Monroe County|AR|4455
Montgomery County|AR|5763
Nevada County|AR|4563
Newton County|AR|4664
Ouachita County|AR|13121
Perry County|AR|4907
Phillips County|AR|10126
Pike County|AR|5580
Poinsett County|AR|10923
Polk County|AR|10002
Pope County|AR|25551
Prairie County|AR|4503
Pulaski County|AR|175555
Randolph County|AR|8513
St. Francis County|AR|10903
Saline County|AR|44811
Scott County|AR|5193
Searcy County|AR|4900
Sebastian County|AR|54651
Sevier County|AR|6887
Sharp County|AR|9822
Stone County|AR|6712
Union County|AR|19653
Van Buren County|AR|10345
Washington County|AR|87808
White County|AR|32488
Woodruff County|AR|3893
Yell County|AR|9752
Alameda County|CA|582549
Alpine County|CA|1760
Amador County|CA|18032
Butte County|CA|95835
Calaveras County|CA|27925
Colusa County|CA|7883
Contra Costa County|CA|400263
Del Norte County|CA|11186
El Dorado County|CA|88159
Fresno County|CA|315531
Glenn County|CA|10778
Humboldt County|CA|61559
Imperial County|CA|56067
Inyo County|CA|9478
Kern County|CA|284367
Kings County|CA|43867
Lake County|CA|35492
Lassen County|CA|12710
Los Angeles County|CA|3445076
Madera County|CA|49140
Marin County|CA|111214
Mariposa County|CA|10188
Mendocino County|CA|40323
Merced County|CA|83698
Modoc County|CA|5192
Mono County|CA|13912
Monterey County|CA|139048
Napa County|CA|54759
Nevada County|CA|52590
Orange County|CA|1048907
Placer County|CA|152648
Plumas County|CA|15566
Riverside County|CA|800707
Sacramento County|CA|555932
San Benito County|CA|17870
San Bernardino County|CA|699637
San Diego County|CA|1164786
San Francisco County|CA|376942
San Joaquin County|CA|233755
San Luis Obispo County|CA|117315
San Mateo County|CA|271031
Santa Barbara County|CA|152834
Santa Clara County|CA|631920
Santa Cruz County|CA|104476
Shasta County|CA|77313
Sierra County|CA|2328
Siskiyou County|CA|23910
Solano County|CA|152698
Sonoma County|CA|204572
Stanislaus County|CA|179503
Sutter County|CA|33858
Tehama County|CA|26987
Trinity County|CA|8681
Tulare County|CA|141696
Tuolumne County|CA|31244
Ventura County|CA|281695
Yolo County|CA|75054
Yuba County|CA|27635
Adams County|CO|163136
Alamosa County|CO|6554
Arapahoe County|CO|238301
Archuleta County|CO|8762
Baca County|CO|2248
Bent County|CO|2242
Boulder County|CO|127071
Broomfield County|CO|22646
Chaffee County|CO|10020
Cheyenne County|CO|975
Clear Creek County|CO|5685
Conejos County|CO|4286
Costilla County|CO|2613
Crowley County|CO|1559
Custer County|CO|3956
Delta County|CO|14572
Denver County|CO|285797
Dolores County|CO|1468
Douglas County|CO|106859
Eagle County|CO|31312
Elbert County|CO|8939
El Paso County|CO|252852
Fremont County|CO|19242
Garfield County|CO|23309
Gilpin County|CO|3560
Grand County|CO|16061
Gunnison County|CO|11412
Hinsdale County|CO|1388
Huerfano County|CO|5075
Jackson County|CO|1286
Jefferson County|CO|229967
Kiowa County|CO|805
Kit Carson County|CO|3527
Lake County|CO|4271
La Plata County|CO|25860
Larimer County|CO|132722
Las Animas County|CO|8217
Lincoln County|CO|2420
Logan County|CO|8981
Mesa County|CO|62644
Mineral County|CO|1201
Moffat County|CO|6196
Montezuma County|CO|12094
Montrose County|CO|18250
Morgan County|CO|11490
Otero County|CO|8969
Ouray County|CO|3083
Park County|CO|13947
Phillips County|CO|2087
Pitkin County|CO|12953
Prowers County|CO|5942
Pueblo County|CO|69526
Rio Blanco County|CO|3309
Rio Grande County|CO|6630
Routt County|CO|16303
Saguache County|CO|3843
San Juan County|CO|756
San Miguel County|CO|6638
Sedgwick County|CO|1415
Summit County|CO|29842
Teller County|CO|12643
Washington County|CO|2434
Weld County|CO|96281
Yuma County|CO|4466
Fairfield County|CT|361221
Hartford County|CT|374249
Litchfield County|CT|87550
Middlesex County|CT|74837
New Haven County|CT|362004
New London County|CT|120994
Tolland County|CT|57963
Windham County|CT|49073
Kent County|DE|65338
New Castle County|DE|217511
Sussex County|DE|123036
District of Columbia|DC|296719
Alachua County|FL|112766
Baker County|FL|9687
Bay County|FL|99650
Bradford County|FL|11011
Brevard County|FL|269864
Broward County|FL|810388
Calhoun County|FL|5999
Charlotte County|FL|100632
Citrus County|FL|78026
Clay County|FL|75478
Collier County|FL|197298
Columbia County|FL|28636
DeSoto County|FL|14590
Dixie County|FL|9319
Duval County|FL|388486
Escambia County|FL|136703
Flagler County|FL|48595
Franklin County|FL|8652
Gadsden County|FL|19506
Gilchrist County|FL|7307
Glades County|FL|6979
Gulf County|FL|9110
Hamilton County|FL|5778
Hardee County|FL|9722
Hendry County|FL|14564
Hernando County|FL|84504
Highlands County|FL|55386
Hillsborough County|FL|536092
Holmes County|FL|8641
Indian River County|FL|76346
Jackson County|FL|21003
Jefferson County|FL|6632
Lafayette County|FL|3328
Lake County|FL|144996
Lee County|FL|371099
Leon County|FL|124136
Levy County|FL|20123
Liberty County|FL|3357
Madison County|FL|8481
Manatee County|FL|172690
Marion County|FL|164050
Martin County|FL|78131
Miami-Dade County|FL|989435
Monroe County|FL|52764
Nassau County|FL|35009
Okaloosa County|FL|92407
Okeechobee County|FL|18509
Orange County|FL|487839
Osceola County|FL|128170
Palm Beach County|FL|664594
Pasco County|FL|228928
Pinellas County|FL|503634
Polk County|FL|281214
Putnam County|FL|37337
St. Johns County|FL|89830
St. Lucie County|FL|137029
Santa Rosa County|FL|64760
Sarasota County|FL|228413
Seminole County|FL|181307
Sumter County|FL|53026
Suwannee County|FL|19164
Taylor County|FL|11004
Union County|FL|4508
Volusia County|FL|254226
Wakulla County|FL|12804
Walton County|FL|45132
Washington County|FL|10796
Appling County|GA|8512
Atkinson County|GA|3522
Bacon County|GA|4801
Baker County|GA|1652
Baldwin County|GA|20159
Banks County|GA|7595
Barrow County|GA|26400
Bartow County|GA|39823
Ben Hill County|GA|7942
Berrien County|GA|8709
Bibb County|GA|69662
Bleckley County|GA|5304
Brantley County|GA|8086
Brooks County|GA|7706
Bryan County|GA|11842
Bulloch County|GA|28794
Burke County|GA|9865
Butts County|GA|9357
Calhoun County|GA|2409
Camden County|GA|21114
Candler County|GA|4761
Carroll County|GA|44607
Catoosa County|GA|26606
Charlton County|GA|4475
Chatham County|GA|119323
Chattahoochee County|GA|3376
Chattooga County|GA|10977
Cherokee County|GA|82360
Clarke County|GA|51068
Clay County|GA|2102
Clayton County|GA|104705
Clinch County|GA|3007
Cobb County|GA|286490
Coffee County|GA|17061
Colquitt County|GA|18311
Columbia County|GA|48626
Cook County|GA|7287
Coweta County|GA|50171
Crawford County|GA|5292
Crisp County|GA|10734
Dade County|GA|7305
Dawson County|GA|10425
Decatur County|GA|12125
DeKalb County|GA|304968
Dodge County|GA|9857
Dooly County|GA|6328
Dougherty County|GA|40801
Douglas County|GA|51672
Early County|GA|4975
Echols County|GA|1558
Effingham County|GA|19884
Elbert County|GA|9583
Emanuel County|GA|9968
Evans County|GA|4664
Fannin County|GA|16207
Fayette County|GA|40793
Floyd County|GA|40551
Forsyth County|GA|64052
Franklin County|GA|10553
Fulton County|GA|437105
Gilmer County|GA|16564
Glascock County|GA|1519
Glynn County|GA|40716
Gordon County|GA|22278
Grady County|GA|10760
Greene County|GA|8688
Gwinnett County|GA|291547
Habersham County|GA|18146
Hall County|GA|68825
Hancock County|GA|5360
Haralson County|GA|12287
Harris County|GA|13397
Hart County|GA|13007
Heard County|GA|5148
Henry County|GA|76533
Houston County|GA|58325
Irwin County|GA|4033
Jackson County|GA|23752
Jasper County|GA|6153
Jeff Davis County|GA|6488
Jefferson County|GA|7298
Jenkins County|GA|4221
Johnson County|GA|4120
Jones County|GA|11688
Lamar County|GA|7474
Lanier County|GA|4249
Laurens County|GA|21368
Lee County|GA|10276
Liberty County|GA|26731
Lincoln County|GA|4786
Long County|GA|6039
Lowndes County|GA|43921
Lumpkin County|GA|12925
McDuffie County|GA|9319
McIntosh County|GA|9220
Macon County|GA|6136
Madison County|GA|11784
Marion County|GA|4156
Meriwether County|GA|9957
Miller County|GA|2791
Mitchell County|GA|8996
Monroe County|GA|10710
Montgomery County|GA|3921
Morgan County|GA|7472
Murray County|GA|15979
Muscogee County|GA|82690
Newton County|GA|38342
Oconee County|GA|12383
Oglethorpe County|GA|6484
Paulding County|GA|52130
Peach County|GA|11050
Pickens County|GA|13692
Pierce County|GA|7986
Pike County|GA|6820
Polk County|GA|16908
Pulaski County|GA|5151
Putnam County|GA|12804
Quitman County|GA|2047
Rabun County|GA|12313
Randolph County|GA|4153
Richmond County|GA|86331
Rockdale County|GA|33272
Schley County|GA|2208
Screven County|GA|6739
Seminole County|GA|4797
Spalding County|GA|26777
Stephens County|GA|12662
Stewart County|GA|2383
Sumter County|GA|13909
Talbot County|GA|3399
Taliaferro County|GA|1015
Tattnall County|GA|9966
Taylor County|GA|4563
Telfair County|GA|7297
Terrell County|GA|4080
Thomas County|GA|20177
Tift County|GA|16434
Toombs County|GA|12144
Towns County|GA|7731
Treutlen County|GA|2992
Troup County|GA|28046
Turner County|GA|3841
Twiggs County|GA|4235
Union County|GA|14052
Upson County|GA|12161
Walker County|GA|30100
Walton County|GA|32435
Ware County|GA|16326
Warren County|GA|2985
Washington County|GA|9047
Wayne County|GA|12199
Webster County|GA|1523
Wheeler County|GA|2625
White County|GA|16062
Whitfield County|GA|39899
Wilcox County|GA|3510
Wilkes County|GA|5158
Wilkinson County|GA|4487
Worth County|GA|9251
Hawaii County|HI|82324
Honolulu County|HI|336899
Kalawao County|HI|113
Kauai County|HI|29793
Maui County|HI|70379
Ada County|ID|159471
Adams County|ID|2636
Bannock County|ID|33191
Bear Lake County|ID|3914
Benewah County|ID|4629
Bingham County|ID|16141
Blaine County|ID|15050
Boise County|ID|5292
Bonner County|ID|24669
Bonneville County|ID|39731
Boundary County|ID|5175
Butte County|ID|1354
Camas County|ID|831
Canyon County|ID|69409
Caribou County|ID|3226
Cassia County|ID|8372
Clark County|ID|531
Clearwater County|ID|4453
Custer County|ID|3103
Elmore County|ID|12162
Franklin County|ID|4528
Fremont County|ID|8531
Gem County|ID|7099
Gooding County|ID|6093
Idaho County|ID|8744
Jefferson County|ID|8722
Jerome County|ID|8101
Kootenai County|ID|63177
Latah County|ID|15988
Lemhi County|ID|4729
Lewis County|ID|1880
Lincoln County|ID|1976
Madison County|ID|11280
Minidoka County|ID|7665
Nez Perce County|ID|17438
Oneida County|ID|1906
Owyhee County|ID|4781
Payette County|ID|8945
Power County|ID|2944
Shoshone County|ID|7061
Teton County|ID|5478
Twin Falls County|ID|31072
Valley County|ID|11789
Washington County|ID|4529
Adams County|IL|29842
Alexander County|IL|4006
Bond County|IL|7089
Boone County|IL|19970
Brown County|IL|2462
Bureau County|IL|15720
Calhoun County|IL|2835
Carroll County|IL|8437
Cass County|IL|5836
Champaign County|IL|87569
Christian County|IL|15563
Clark County|IL|7772
Clay County|IL|6404
Clinton County|IL|15311
Coles County|IL|23425
Cook County|IL|2180359
Crawford County|IL|8661
Cumberland County|IL|4874
DeKalb County|IL|41079
De Witt County|IL|7521
Douglas County|IL|8390
DuPage County|IL|356179
Edgar County|IL|8803
Edwards County|IL|3187
Effingham County|IL|14570
Fayette County|IL|9302
Ford County|IL|6282
Franklin County|IL|18525
Fulton County|IL|16195
Gallatin County|IL|2746
Greene County|IL|6389
Grundy County|IL|19996
Hamilton County|IL|4104
Hancock County|IL|9274
Hardin County|IL|2488
Henderson County|IL|3827
Henry County|IL|22161
Iroquois County|IL|13452
Jackson County|IL|28578
Jasper County|IL|4345
Jefferson County|IL|16954
Jersey County|IL|9848
Jo Daviess County|IL|13574
Johnson County|IL|5598
Kane County|IL|182047
Kankakee County|IL|45246
Kendall County|IL|40321
Knox County|IL|24077
Lake County|IL|260310
LaSalle County|IL|49978
Lawrence County|IL|6936
Lee County|IL|15049
Livingston County|IL|15895
Logan County|IL|12107
McDonough County|IL|14419
McHenry County|IL|116040
McLean County|IL|69656
Macon County|IL|50475
Macoupin County|IL|21584
Madison County|IL|117106
Marion County|IL|18296
Marshall County|IL|5914
Mason County|IL|7077
Massac County|IL|7113
Menard County|IL|5654
Mercer County|IL|7358
Monroe County|IL|13392
Montgomery County|IL|13080
Morgan County|IL|15515
Moultrie County|IL|6260
Ogle County|IL|22561
Peoria County|IL|83034
Perry County|IL|9426
Piatt County|IL|7269
Pike County|IL|7951
Pope County|IL|2491
Pulaski County|IL|3155
Putnam County|IL|3074
Randolph County|IL|13707
Richland County|IL|7513
Rock Island County|IL|65756
St. Clair County|IL|116249
Saline County|IL|11697
Sangamon County|IL|89901
Schuyler County|IL|3459
Scott County|IL|2459
Shelby County|IL|10396
Stark County|IL|2674
Stephenson County|IL|22081
Tazewell County|IL|57516
Union County|IL|7924
Vermilion County|IL|36318
Wabash County|IL|5585
Warren County|IL|7682
Washington County|IL|6534
Wayne County|IL|7975
White County|IL|7181
Whiteside County|IL|25770
Will County|IL|237501
Williamson County|IL|30359
Winnebago County|IL|125965
Woodford County|IL|15145
Adams County|IN|13014
Allen County|IN|152184
Bartholomew County|IN|33098
Benton County|IN|3937
Blackford County|IN|6051
Boone County|IN|22754
Brown County|IN|8285
Carroll County|IN|9472
Cass County|IN|16474
Clark County|IN|47776
Clay County|IN|11703
Clinton County|IN|13321
Crawford County|IN|5520
Daviess County|IN|12471
Dearborn County|IN|20171
Decatur County|IN|11209
DeKalb County|IN|17558
Delaware County|IN|52357
Dubois County|IN|17384
Elkhart County|IN|77767
Fayette County|IN|10898
Floyd County|IN|31968
Fountain County|IN|7865
Franklin County|IN|9538
Fulton County|IN|9708
Gibson County|IN|14645
Grant County|IN|30443
Greene County|IN|15211
Hamilton County|IN|106772
Hancock County|IN|28125
Harrison County|IN|16534
Hendricks County|IN|55454
Henry County|IN|21288
Howard County|IN|38679
Huntington County|IN|15805
Jackson County|IN|18202
Jasper County|IN|13168
Jay County|IN|9221
Jefferson County|IN|14311
Jennings County|IN|12069
Johnson County|IN|56649
Knox County|IN|17038
Kosciusko County|IN|37038
LaGrange County|IN|14094
Lake County|IN|208750
LaPorte County|IN|48448
Lawrence County|IN|21074
Madison County|IN|59068
Marion County|IN|417862
Marshall County|IN|19845
Martin County|IN|4786
Miami County|IN|15479
Monroe County|IN|59107
Montgomery County|IN|16535
Morgan County|IN|27754
Newton County|IN|6030
Noble County|IN|20109
Ohio County|IN|2784
Orange County|IN|9176
Owen County|IN|10091
Parke County|IN|8085
Perry County|IN|8495
Pike County|IN|5735
Porter County|IN|66179
Posey County|IN|11207
Pulaski County|IN|6060
Putnam County|IN|14706
Randolph County|IN|11743
Ripley County|IN|11952
Rush County|IN|7508
St. Joseph County|IN|114849
Scott County|IN|10440
Shelby County|IN|19080
Spencer County|IN|8872
Starke County|IN|10962
Steuben County|IN|19377
Sullivan County|IN|8939
Switzerland County|IN|4969
Tippecanoe County|IN|71096
Tipton County|IN|6998
Union County|IN|3239
Vanderburgh County|IN|83003
Vermillion County|IN|7488
Vigo County|IN|46006
Wabash County|IN|14171
Warren County|IN|3680
Warrick County|IN|24203
Washington County|IN|12220
Wayne County|IN|31242
Wells County|IN|11659
White County|IN|12970
Whitley County|IN|14281
Adair County|IA|3698
Adams County|IA|2010
Allamakee County|IA|7617
Appanoose County|IA|6633
Audubon County|IA|2972
Benton County|IA|11095
Black Hawk County|IA|55887
Boone County|IA|11756
Bremer County|IA|9915
Buchanan County|IA|8968
Buena Vista County|IA|8237
Butler County|IA|6682
Calhoun County|IA|5108
Carroll County|IA|9376
Cass County|IA|6591
Cedar County|IA|8064
Cerro Gordo County|IA|22163
Cherokee County|IA|5777
Chickasaw County|IA|5679
Clarke County|IA|4086
Clay County|IA|8062
Clayton County|IA|8999
Clinton County|IA|21733
Crawford County|IA|6943
Dallas County|IA|27260
Davis County|IA|3600
Decatur County|IA|3834
Delaware County|IA|8028
Des Moines County|IA|18535
Dickinson County|IA|12849
Dubuque County|IA|38951
Emmet County|IA|4758
Fayette County|IA|9558
Floyd County|IA|7526
Franklin County|IA|4894
Fremont County|IA|3431
Greene County|IA|4546
Grundy County|IA|5530
Guthrie County|IA|5756
Hamilton County|IA|7219
Hancock County|IA|5330
Hardin County|IA|8224
Harrison County|IA|6731
Henry County|IA|8280
Howard County|IA|4367
Humboldt County|IA|4684
Ida County|IA|3426
Iowa County|IA|7258
Jackson County|IA|9415
Jasper County|IA|16181
Jefferson County|IA|7594
Johnson County|IA|55967
Jones County|IA|8911
Keokuk County|IA|4931
Kossuth County|IA|7486
Lee County|IA|16205
Linn County|IA|92251
Louisa County|IA|5002
Lucas County|IA|4238
Lyon County|IA|4848
Madison County|IA|6554
Mahaska County|IA|9766
Marion County|IA|13914
Marshall County|IA|16831
Mills County|IA|6109
Mitchell County|IA|4850
Monona County|IA|4697
Monroe County|IA|3884
Montgomery County|IA|5239
Muscatine County|IA|17910
O'Brien County|IA|6649
Osceola County|IA|2990
Page County|IA|7181
Palo Alto County|IA|4628
Plymouth County|IA|10550
Pocahontas County|IA|3794
Polk County|IA|182262
Pottawattamie County|IA|39330
Poweshiek County|IA|8949
Ringgold County|IA|2613
Sac County|IA|5429
Scott County|IA|71835
Shelby County|IA|5542
Sioux County|IA|12279
Story County|IA|36789
Tama County|IA|7766
Taylor County|IA|3107
Union County|IA|5937
Van Buren County|IA|3670
Wapello County|IA|16098
Warren County|IA|18371
Washington County|IA|9516
Wayne County|IA|3212
Webster County|IA|17035
Winnebago County|IA|5194
Winneshiek County|IA|8721
Woodbury County|IA|41484
Worth County|IA|3548
Wright County|IA|6529
Allen County|KS|6226
Anderson County|KS|3720
Atchison County|KS|6990
Barber County|KS|2765
Barton County|KS|12696
Bourbon County|KS|7167
Brown County|KS|4779
Butler County|KS|26058
Chase County|KS|1503
Chautauqua County|KS|2150
Cherokee County|KS|9890
Cheyenne County|KS|1518
Clark County|KS|1135
Clay County|KS|4042
Cloud County|KS|4659
Coffey County|KS|3964
Comanche County|KS|1044
Cowley County|KS|16030
Crawford County|KS|17801
Decatur County|KS|1818
Dickinson County|KS|8972
Doniphan County|KS|3576
Douglas County|KS|46731
Edwards County|KS|1636
Elk County|KS|1760
Ellis County|KS|12872
Ellsworth County|KS|3239
Finney County|KS|13276
Ford County|KS|12005
Franklin County|KS|11147
Geary County|KS|14517
Gove County|KS|1373
Graham County|KS|1484
Grant County|KS|2945
Gray County|KS|2340
Greeley County|KS|629
Greenwood County|KS|4068
Hamilton County|KS|1236
Harper County|KS|3116
Harvey County|KS|14527
Haskell County|KS|1666
Hodgeman County|KS|973
Jackson County|KS|5779
Jefferson County|KS|8160
Jewell County|KS|2032
Johnson County|KS|226571
Kearny County|KS|1556
Kingman County|KS|3818
Kiowa County|KS|1220
Labette County|KS|10092
Lane County|KS|990
Leavenworth County|KS|28697
Lincoln County|KS|1864
Linn County|KS|5446
Logan County|KS|1441
Lyon County|KS|15237
McPherson County|KS|12721
Marion County|KS|5946
Marshall County|KS|4866
Meade County|KS|1998
Miami County|KS|13190
Mitchell County|KS|3296
Montgomery County|KS|16578
Morris County|KS|3206
Morton County|KS|1467
Nemaha County|KS|4562
Neosho County|KS|7513
Ness County|KS|1740
Norton County|KS|2542
Osage County|KS|7503
Osborne County|KS|2206
Ottawa County|KS|2779
Pawnee County|KS|3152
Phillips County|KS|3049
Pottawatomie County|KS|8626
Pratt County|KS|4514
Rawlins County|KS|1458
Reno County|KS|28274
Republic County|KS|2877
Rice County|KS|4548
Riley County|KS|28212
Rooks County|KS|2768
Rush County|KS|1869
Russell County|KS|3910
Saline County|KS|24101
Scott County|KS|2193
Sedgwick County|KS|211593
Seward County|KS|8061
Shawnee County|KS|79140
Sheridan County|KS|1265
Sherman County|KS|3148
Smith County|KS|2232
Stafford County|KS|2319
Stanton County|KS|990
Stevens County|KS|2306
Sumner County|KS|10865
Thomas County|KS|3536
Trego County|KS|1682
Wabaunsee County|KS|3227
Wallace County|KS|781
Washington County|KS|2955
Wichita County|KS|1054
Wilson County|KS|4682
Woodson County|KS|2022
Wyandotte County|KS|66747
Adair County|KY|8568
Allen County|KY|9307
Anderson County|KY|9127
Ballard County|KY|3885
Barren County|KY|19188
Bath County|KY|5405
Bell County|KY|13154
Boone County|KY|46154
Bourbon County|KY|8927
Boyd County|KY|21803
Boyle County|KY|12312
Bracken County|KY|3840
Breathitt County|KY|6231
Breckinridge County|KY|10630
Bullitt County|KY|29318
Butler County|KY|5877
Caldwell County|KY|6292
Calloway County|KY|18065
Campbell County|KY|39523
Carlisle County|KY|2441
Carroll County|KY|4696
Carter County|KY|12311
Casey County|KY|7487
Christian County|KY|29459
Clark County|KY|15706
Clay County|KY|8875
Clinton County|KY|5311
Crittenden County|KY|4569
Cumberland County|KY|3690
Daviess County|KY|41452
Edmonson County|KY|6467
Elliott County|KY|3371
Estill County|KY|6865
Fayette County|KY|135160
Fleming County|KY|6623
Floyd County|KY|18175
Franklin County|KY|23164
Fulton County|KY|3372
Gallatin County|KY|3786
Garrard County|KY|7463
Grant County|KY|9942
Graves County|KY|16777
Grayson County|KY|13561
Green County|KY|5324
Greenup County|KY|16330
Hancock County|KY|3734
Hardin County|KY|43261
Harlan County|KY|13513
Harrison County|KY|8208
Hart County|KY|8559
Henderson County|KY|20320
Henry County|KY|6640
Hickman County|KY|2342
Hopkins County|KY|21180
Jackson County|KY|6523
Jefferson County|KY|337616
Jessamine County|KY|19331
Johnson County|KY|10624
Kenton County|KY|68975
Knott County|KY|7461
Knox County|KY|14485
Larue County|KY|6172
Laurel County|KY|25446
Lawrence County|KY|7286
Lee County|KY|3436
Leslie County|KY|5278
Letcher County|KY|11601
Lewis County|KY|6481
Lincoln County|KY|10819
Livingston County|KY|4824
Logan County|KY|12339
Lyon County|KY|4791
McCracken County|KY|31079
McCreary County|KY|7507
McLean County|KY|4264
Madison County|KY|35043
Magoffin County|KY|5950
Marion County|KY|8182
Marshall County|KY|15748
Martin County|KY|5164
Mason County|KY|8105
Meade County|KY|11762
Menifee County|KY|3744
Mercer County|KY|9941
Metcalfe County|KY|4681
Monroe County|KY|5204
Montgomery County|KY|11699
Morgan County|KY|5830
Muhlenberg County|KY|13699
Nelson County|KY|18075
Nicholas County|KY|3261
Ohio County|KY|10219
Oldham County|KY|20688
Owen County|KY|5634
Owsley County|KY|2328
Pendleton County|KY|6339
Perry County|KY|12791
Pike County|KY|30304
Powell County|KY|5598
Pulaski County|KY|31443
Robertson County|KY|1095
Rockcastle County|KY|7703
Rowan County|KY|10102
Russell County|KY|9993
Scott County|KY|19303
Shelby County|KY|16606
Simpson County|KY|7435
Spencer County|KY|6704
Taylor County|KY|10864
Todd County|KY|5286
Trigg County|KY|7810
Trimble County|KY|3930
Union County|KY|6141
Warren County|KY|47223
Washington County|KY|5044
Wayne County|KY|10942
Webster County|KY|5936
Whitley County|KY|15166
Wolfe County|KY|3660
Woodford County|KY|10711
Acadia Parish|LA|25387
Allen Parish|LA|9733
Ascension Parish|LA|40784
Assumption Parish|LA|10351
Avoyelles Parish|LA|18042
Beauregard Parish|LA|15040
Bienville Parish|LA|7718
Bossier Parish|LA|49351
Caddo Parish|LA|112028
Calcasieu Parish|LA|82058
Caldwell Parish|LA|4994
Cameron Parish|LA|3593
Catahoula Parish|LA|4877
Claiborne Parish|LA|7761
Concordia Parish|LA|9383
De Soto Parish|LA|12290
East Baton Rouge Parish|LA|187353
East Carroll Parish|LA|2904
East Feliciana Parish|LA|8014
Evangeline Parish|LA|14662
Franklin Parish|LA|9034
Grant Parish|LA|8886
Iberia Parish|LA|29698
Iberville Parish|LA|12707
Jackson Parish|LA|7680
Jefferson Parish|LA|189135
Jefferson Davis Parish|LA|13306
Lafayette Parish|LA|93656
Lafourche Parish|LA|38582
La Salle Parish|LA|6560
